Name,Coat,Common Health Issues,also_known_as,enrichment_confidence,exercise_level,exercise_needs,fci_group,female_weight_6m_kg_max,female_weight_6m_kg_min,female_weight_adult_kg_max,female_weight_adult_kg_min,grooming,grooming_needs,health_notes_confidence,health_prevalence_notes,health_watchlist_tags,life_span_years,male_weight_6m_kg_max,male_weight_6m_kg_min,male_weight_adult_kg_max,male_weight_adult_kg_min,origin,recognized_by,recommended_screenings,temperament,trainability,weights_confidence
Portuguese Water Dog,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,High,Moderate,8,13.2,5.9,20,9,Low–Moderate,Moderate,,Retrievers & spaniels: ear infections common; atopy/skin issues occur; orthopedic screening recommended.,Otic; Dermatologic; Orthopedic,11–14,14.5,6.6,22,10,Portugal,"AKC, FCI",hips/elbows (OFA/FCI); ear care plan; skin/coat checks,loyal;alert;trainable,Moderate,breed-specific estimate
Presa Canario,Short/medium,"Orthopedic disease (https://www.notion.so/Orthopedic-disease-cca3e9500b704b0ab3a96b93a12b8eef?pvs=21), Cardiomyopathy (https://www.notion.so/Cardiomyopathy-1cab53d364c94cb29bf3f22f97df4eac?pvs=21), Gastric dilatation–volvulus (GSV) (Bloat) (https://www.notion.so/Gastric-dilatation-volvulus-GSV-Bloat-28ccf55ca088817389b5e926c40493b2?pvs=21)",,breed-specific,Moderate,Moderate (45–60 min/day),0,35,22.5,70,45,Low–Moderate,Moderate,,,,7–10,40,25,80,50,Spain,FCI,,gentle;steady;protective,Moderate,breed-specific estimate
Pug,Short or long; varies,"Dental disease (https://www.notion.so/Dental-disease-85eac5bad071433f8fb0d9c655989c09?pvs=21), Patellar luxation (https://www.notion.so/Patellar-luxation-28ccf55ca08881dcad66cdbfff98018d?pvs=21), Tracheal collapse (https://www.notion.so/Tracheal-collapse-28ccf55ca088814d85accf9ca9a0e500?pvs=21), Brachycephalic obstructive airway syndrome (BOAS) (https://www.notion.so/Brachycephalic-obstructive-airway-syndrome-BOAS-28ccf55ca08881f59cadf79e1f34086a?pvs=21), Heat intolerance (https://www.notion.so/Heat-intolerance-0bb86f455e634db1a4614f651c83e67e?pvs=21), Ocular issues (corneal/entropion risk) (https://www.notion.so/Ocular-issues-corneal-entropion-risk-306dd7fcd0624c4cbea60152969c40b4?pvs=21), hemivertebrae (spinal malformations) (https://www.notion.so/hemivertebrae-spinal-malformations-28ccf55ca08880c58a81f514f3391bb8?pvs=21), necrotising meningoencephalitis (PDE/NME) (https://www.notion.so/necrotising-meningoencephalitis-PDE-NME-28ccf55ca088804492a8c5e1324ea3cd?pvs=21)",,breed-specific,Low,Low–Moderate (20–40 min/day),9,4.5,1.5,6,2,Low to High (breed-specific),Varies,pattern-based (well-established risks),BOAS prevalence high; heat intolerance common; ocular ulcer/entropion risk; vertebral malformations more frequent in screw‑tail breeds.; Companion/toy breeds: dental disease and patellar luxation common; several have hereditary eye risks.,Respiratory; Ophthalmic; Spinal; Dermatologic; Anesthesia; Dental; Orthopedic,12–16,4.5,1.5,6,2,China,"AKC, FCI",airway exam for BOAS risk; eye exam (CAER); neurologic exam if seizures/behavior changes (PDE context); airway exam before anesthesia; weight management counseling; patellar exam; routine dental care,affectionate;alert;playful,Moderate–High,breed-specific estimate
Puli,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,Moderate,Moderate,0,13.2,5.9,20,9,Low–Moderate,Moderate,,,,11–14,14.5,6.6,22,10,Hungary,"AKC, FCI",,loyal;alert;trainable,Moderate,breed-specific estimate
Pumi,Double; medium,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Collie Eye Anomaly (CEA) (https://www.notion.so/Collie-Eye-Anomaly-CEA-38701eb1cd5446c9bc08e1f5d1b2bcd0?pvs=21), MDR1 sensitivity (https://www.notion.so/MDR1-sensitivity-c1f6a3f9a2114d02b11d55dae344d9e0?pvs=21)",,breed-specific,Moderate,"Very High (90–120+ min/day, mental work)",0,17.8,10.6,27,16,Moderate,Moderate,,,,12–15,18,10.8,30,18,Hungary,"AKC, FCI",,intelligent;loyal;energetic,Very High,breed-specific estimate
Pyrenean Mastiff,Short/medium,"Orthopedic disease (https://www.notion.so/Orthopedic-disease-cca3e9500b704b0ab3a96b93a12b8eef?pvs=21), Cardiomyopathy (https://www.notion.so/Cardiomyopathy-1cab53d364c94cb29bf3f22f97df4eac?pvs=21), Gastric dilatation–volvulus (GSV) (Bloat) (https://www.notion.so/Gastric-dilatation-volvulus-GSV-Bloat-28ccf55ca088817389b5e926c40493b2?pvs=21)",,breed-specific,Moderate,Moderate (45–60 min/day),2,35,22.5,70,45,Low–Moderate,Low,pattern-based (well-established risks),Deep‑chested conformation: increased risk for gastric dilatation–volvulus (bloat); discuss prevention/early signs.; Large guardians: hip/elbow disease risk; ectropion/entropion in some; cardiomyopathy/thyroid issues reported in certain lines.,Gastrointestinal; Orthopedic; Ophthalmic; Cardiac; Endocrine,7–10,40,25,80,50,Spain,FCI,hips (OFA/FCI); elbows (OFA/FCI); owner education on bloat; consider prophylactic gastropexy where appropriate; hips/elbows (OFA/FCI); cardiac exam/echo as indicated; thyroid panel as indicated; eye exam (ectropion/entropion),gentle;steady;protective,Moderate,breed-specific estimate
Pyrenean Shepherd,Double; medium,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Collie Eye Anomaly (CEA) (https://www.notion.so/Collie-Eye-Anomaly-CEA-38701eb1cd5446c9bc08e1f5d1b2bcd0?pvs=21), MDR1 sensitivity (https://www.notion.so/MDR1-sensitivity-c1f6a3f9a2114d02b11d55dae344d9e0?pvs=21)",,breed-specific,High,"Very High (90–120+ min/day, mental work)",1,17.8,10.6,27,16,Moderate,Moderate,,,,12–15,18,10.8,30,18,France (Pyrenees),"AKC, FCI",,intelligent;loyal;energetic,Very High,breed-specific estimate
Rat Terrier,Wire/broken or smooth,"Skin issues (https://www.notion.so/Skin-issues-0204ec666dfa43b595daffb229708b0e?pvs=21), Lens luxation (https://www.notion.so/Lens-luxation-44b02200e7a64255a340e67f7a03af57?pvs=21), Patellar luxation (https://www.notion.so/Patellar-luxation-28ccf55ca08881dcad66cdbfff98018d?pvs=21)",,breed-specific,Moderate,High (60–90 min/day),0,8.2,4.5,11,6,Moderate (hand-stripping for some),Moderate,,,,12–15,7.9,4.6,12,7,United States,FCI,,bold;feisty;energetic,Moderate,breed-specific estimate
Redbone Coonhound,Short or medium,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Ear infections (https://www.notion.so/Ear-infections-fd85c5b639f24299ac35d4473632139b?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,Moderate,High (60–120 min/day),0,19.2,10.8,32,18,Low to Moderate,Moderate,,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.,Otic; Dermatologic; Weight,10–14,21,12,35,20,United States,FCI,regular ear checks/cleaning; skin/coat checks,independent;gentle;prey-driven,Moderate (scent/sight driven),breed-specific estimate
Rhodesian Ridgeback,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21), Gastric dilatation–volvulus (GSV) (Bloat) (https://www.notion.so/Gastric-dilatation-volvulus-GSV-Bloat-28ccf55ca088817389b5e926c40493b2?pvs=21)",,breed-specific,Moderate,Moderate,0,13.2,5.9,20,9,Low–Moderate,Moderate,pattern-based (well-established risks),Dermoid sinus associated with ridge; neonatal screening advised.; Deep‑chested conformation: increased risk for gastric dilatation–volvulus (bloat); discuss prevention/early signs.,Dermatologic; Neurologic; Gastrointestinal,11–14,14.5,6.6,22,10,Southern Africa (Zimbabwe),"AKC, FCI",neonatal dermoid sinus check; owner education on bloat; consider prophylactic gastropexy where appropriate,loyal;alert;trainable,Moderate,breed-specific estimate
Rottweiler,Short/medium double,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Heart issues (https://www.notion.so/Heart-issues-ed76893a1091458b898840deabe0dfdd?pvs=21), Osteosarcoma (https://www.notion.so/Osteosarcoma-28ccf55ca0888155990dfa66d83fa2d5?pvs=21), Gastric dilatation–volvulus (GSV) (Bloat) (https://www.notion.so/Gastric-dilatation-volvulus-GSV-Bloat-28ccf55ca088817389b5e926c40493b2?pvs=21)",,breed-specific,Moderate,High (60–120 min/day),2,30,18,50,30,Low–Moderate,Low,pattern-based (well-established risks),Osteosarcoma risk elevated; hip/elbow dysplasia seen.,Oncologic; Orthopedic,9–12,30,17.5,60,35,Germany,"AKC, FCI",hips (OFA/FCI); elbows (OFA/FCI); hips/elbows (OFA/FCI); limb pain/swelling vigilance,confident;protective;calm,Moderate–High,breed-specific estimate
Russian Toy,Short or long; varies,"Dental disease (https://www.notion.so/Dental-disease-85eac5bad071433f8fb0d9c655989c09?pvs=21), Patellar luxation (https://www.notion.so/Patellar-luxation-28ccf55ca08881dcad66cdbfff98018d?pvs=21), Tracheal collapse (https://www.notion.so/Tracheal-collapse-28ccf55ca088814d85accf9ca9a0e500?pvs=21)",,breed-specific,Moderate,Low–Moderate (20–40 min/day),0,4.5,1.5,6,2,Low to High (breed-specific),Moderate,pattern-based (well-established risks),Dental disease and patellar luxation are common in toy breeds.,Dental; Orthopedic,12–16,4.5,1.5,6,2,Russia,FCI,patellar exam; routine dental care,affectionate;alert;playful,Moderate–High,breed-specific estimate
Russian Tsvetnaya Bolonka,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,Moderate,Moderate,0,13.2,5.9,20,9,Low–Moderate,Moderate,,,,11–14,14.5,6.6,22,10,Russia,FCI,,loyal;alert;trainable,Moderate,breed-specific estimate
Saint Bernard,Short/medium,"Orthopedic disease (https://www.notion.so/Orthopedic-disease-cca3e9500b704b0ab3a96b93a12b8eef?pvs=21), Cardiomyopathy (https://www.notion.so/Cardiomyopathy-1cab53d364c94cb29bf3f22f97df4eac?pvs=21), Gastric dilatation–volvulus (GSV) (Bloat) (https://www.notion.so/Gastric-dilatation-volvulus-GSV-Bloat-28ccf55ca088817389b5e926c40493b2?pvs=21)",,breed-specific,Moderate,Moderate (45–60 min/day),2,35,22.5,70,45,Low–Moderate,Low,,Deep‑chested conformation: increased risk for gastric dilatation–volvulus (bloat); discuss prevention/early signs.; Large guardians: hip/elbow disease risk; ectropion/entropion in some; cardiomyopathy/thyroid issues reported in certain lines.,Gastrointestinal; Orthopedic; Ophthalmic; Cardiac; Endocrine,7–10,40,25,80,50,Switzerland,"AKC, FCI",hips (OFA/FCI); elbows (OFA/FCI); owner education on bloat; consider prophylactic gastropexy where appropriate; hips/elbows (OFA/FCI); cardiac exam/echo as indicated; thyroid panel as indicated; eye exam (ectropion/entropion),gentle;steady;protective,Moderate,breed-specific estimate
Saluki,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,Moderate,Moderate,10,13.2,5.9,20,9,Low–Moderate,Low,,Sighthounds: unique anesthetic/analgesic considerations; thin skin/pressure sores; some have hyperfibrinolysis tendencies; deep‑chested types with bloat risk.,Anesthesia; Hematologic; Dermatologic; Gastrointestinal,11–14,14.5,6.6,22,10,Middle East,"AKC, FCI",anesthesia plan tailored to sighthounds; owner education on bloat for giant/large sighthounds,loyal;alert;trainable,Moderate,breed-specific estimate
Samoyed,Thick double,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Zinc deficiency (https://www.notion.so/Zinc-deficiency-7ba7ebcf17924e74a45ab470d6acf571?pvs=21), hereditary eye disease (PRA/cataract risk) (https://www.notion.so/hereditary-eye-disease-PRA-cataract-risk-144f437f22b6453fade463cc44265030?pvs=21), dermatologic issues (zinc-reponsive dermatosis in some lines) (https://www.notion.so/dermatologic-issues-zinc-reponsive-dermatosis-in-some-lines-28ccf55ca088804d8659d89fc1b69490?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,High,High (90–120 min/day),5,18,9.6,30,16,Moderate–High (seasonal blowouts),Moderate,pattern-based (well-established risks),Hereditary eye disease and zinc‑responsive dermatosis reported in some lines.,Dermatologic; Ophthalmic,11–14,21,12,35,20,Russia (Siberia),"AKC, FCI",eye exam (CAER); dietary zinc evaluation if dermatologic signs,alert;independent;friendly,Moderate,breed-specific estimate
Sarplaninac,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,Moderate,Moderate,0,13.2,5.9,20,9,Low–Moderate,Moderate,,,,11–14,14.5,6.6,22,10,North Macedonia/Serbia,FCI,,loyal;alert;trainable,Moderate,breed-specific estimate
Schipperke,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,Moderate,Moderate,0,13.2,5.9,20,9,Low–Moderate,Moderate,,,,11–14,14.5,6.6,22,10,Belgium,FCI,,loyal;alert;trainable,Moderate,breed-specific estimate
Scottish Deerhound,Short or medium,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Ear infections (https://www.notion.so/Ear-infections-fd85c5b639f24299ac35d4473632139b?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,Moderate,High (60–120 min/day),10,19.2,10.8,32,18,Low to Moderate,Low,,Sighthounds: unique anesthetic/analgesic considerations; thin skin/pressure sores; some have hyperfibrinolysis tendencies; deep‑chested types with bloat risk.,Anesthesia; Hematologic; Dermatologic; Gastrointestinal,10–14,21,12,35,20,Scotland,"AKC, FCI",anesthesia plan tailored to sighthounds; owner education on bloat for giant/large sighthounds,independent;gentle;prey-driven,Moderate (scent/sight driven),breed-specific estimate
Scottish Terrier,Wire/broken or smooth,"Patellar luxation (https://www.notion.so/Patellar-luxation-28ccf55ca08881dcad66cdbfff98018d?pvs=21), Skin issues (https://www.notion.so/Skin-issues-0204ec666dfa43b595daffb229708b0e?pvs=21), Lens luxation (https://www.notion.so/Lens-luxation-44b02200e7a64255a340e67f7a03af57?pvs=21)",,breed-specific,High,High (60–90 min/day),3,8.2,4.5,11,6,Moderate (hand-stripping for some),Moderate,,,,12–15,7.9,4.6,12,7,Scotland,"AKC, FCI",,bold;feisty;energetic,Moderate,breed-specific estimate
Sealyham Terrier,Wire/broken or smooth,"Patellar luxation (https://www.notion.so/Patellar-luxation-28ccf55ca08881dcad66cdbfff98018d?pvs=21), Skin issues (https://www.notion.so/Skin-issues-0204ec666dfa43b595daffb229708b0e?pvs=21), Lens luxation (https://www.notion.so/Lens-luxation-44b02200e7a64255a340e67f7a03af57?pvs=21)",,breed-specific,High,High (60–90 min/day),3,8.2,4.5,11,6,Moderate (hand-stripping for some),Moderate,,Some terriers carry primary lens luxation (PLL); small terriers may have patellar luxation and dental disease.,Ophthalmic; Orthopedic; Dental,12–15,7.9,4.6,12,7,Wales,"AKC, FCI",PLL DNA test where applicable; patellar exam; dental plan,bold;feisty;energetic,Moderate,breed-specific estimate
Segugio Italiano,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,Moderate,Moderate,0,13.2,5.9,20,9,Low–Moderate,Moderate,,,,11–14,14.5,6.6,22,10,Italy,FCI,,loyal;alert;trainable,Moderate,breed-specific estimate
Shetland Sheepdog,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21), MDR1 sensitivity (https://www.notion.so/MDR1-sensitivity-c1f6a3f9a2114d02b11d55dae344d9e0?pvs=21), Collie Eye Anomaly (CEA) (https://www.notion.so/Collie-Eye-Anomaly-CEA-38701eb1cd5446c9bc08e1f5d1b2bcd0?pvs=21)",,breed-specific,High,Moderate,1,13.2,5.9,20,9,Low–Moderate,Moderate,pattern-based (well-established risks),MDR1 drug sensitivity occurs in herding breeds; collie eye anomaly (CEA) in some lines.,Pharmacogenetics; Ophthalmic,11–14,14.5,6.6,22,10,Scotland (Shetland),"AKC, FCI",hips (OFA/FCI); CEA/eye exam (CAER); MDR1 DNA test; eye exam (CAER),loyal;alert;trainable,Moderate,breed-specific estimate
Shiba Inu,Thick double,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Zinc deficiency (https://www.notion.so/Zinc-deficiency-7ba7ebcf17924e74a45ab470d6acf571?pvs=21), Allergies (https://www.notion.so/Allergies-1774994115ff45c78fdfb6f6f86dd8b2?pvs=21), Glaucoma (https://www.notion.so/Glaucoma-28ccf55ca088811ba5f3f8d8fb92ead4?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,High,High (90–120 min/day),5,18,9.6,30,16,Moderate–High (seasonal blowouts),Moderate,,,,11–14,21,12,35,20,Japan,FCI,,alert;independent;friendly,Moderate,breed-specific estimate
Shih Tzu,Short or long; varies,"Dental disease (https://www.notion.so/Dental-disease-85eac5bad071433f8fb0d9c655989c09?pvs=21), Tracheal collapse (https://www.notion.so/Tracheal-collapse-28ccf55ca088814d85accf9ca9a0e500?pvs=21), Brachycephalic obstructive airway syndrome (BOAS) (https://www.notion.so/Brachycephalic-obstructive-airway-syndrome-BOAS-28ccf55ca08881f59cadf79e1f34086a?pvs=21), Heat intolerance (https://www.notion.so/Heat-intolerance-0bb86f455e634db1a4614f651c83e67e?pvs=21), Ocular issues (corneal/entropion risk) (https://www.notion.so/Ocular-issues-corneal-entropion-risk-306dd7fcd0624c4cbea60152969c40b4?pvs=21), Patellar luxation (https://www.notion.so/Patellar-luxation-28ccf55ca08881dcad66cdbfff98018d?pvs=21)",,breed-specific,Low,Low–Moderate (20–40 min/day),9,4.5,1.5,6,2,Low to High (breed-specific),Varies,pattern-based (well-established risks),BOAS prevalence high; heat intolerance common; ocular ulcer/entropion risk; vertebral malformations more frequent in screw‑tail breeds.; Companion/toy breeds: dental disease and patellar luxation common; several have hereditary eye risks.,Respiratory; Ophthalmic; Spinal; Dermatologic; Anesthesia; Dental; Orthopedic,12–16,4.5,1.5,6,2,Tibet/China,"AKC, FCI",airway exam for BOAS risk; eye exam (CAER); patellar exam; airway exam before anesthesia; weight management counseling; routine dental care,affectionate;alert;playful,Moderate–High,breed-specific estimate
Shikoku,Short or long; varies,"Dental disease (https://www.notion.so/Dental-disease-85eac5bad071433f8fb0d9c655989c09?pvs=21), Patellar luxation (https://www.notion.so/Patellar-luxation-28ccf55ca08881dcad66cdbfff98018d?pvs=21), Tracheal collapse (https://www.notion.so/Tracheal-collapse-28ccf55ca088814d85accf9ca9a0e500?pvs=21)",,breed-specific,High,Low–Moderate (20–40 min/day),5,4.5,1.5,6,2,Low to High (breed-specific),Moderate,,,,12–16,4.5,1.5,6,2,Japan,FCI,,affectionate;alert;playful,Moderate–High,breed-specific estimate
